unique_id,ds,y
User #25309,2020-03-17 17:00:00,6.0
User #25309,2020-03-17 20:00:00,8.0
User #25309,2020-03-17 23:00:00,10.0
User #25309,2020-03-18 14:00:00,12.0
User #25309,2020-03-18 17:00:00,9.0
User #25309,2020-03-18 20:00:00,11.0
User #25309,2020-03-18 23:00:00,9.0
User #25309,2020-03-19 14:00:00,8.0
User #25309,2020-03-19 17:00:00,10.0
User #25309,2020-03-19 20:00:00,7.0
User #25309,2020-03-19 23:00:00,8.0
User #25309,2020-03-20 17:00:00,8.0
User #25309,2020-03-20 20:00:00,7.0
User #25309,2020-03-20 23:00:00,6.0
User #25309,2020-03-21 14:00:00,13.0
User #25309,2020-03-21 17:00:00,11.0
User #25309,2020-03-21 20:00:00,12.0
User #25309,2020-03-21 23:00:00,8.0
User #25309,2020-03-22 14:00:00,12.0
User #25309,2020-03-22 17:00:00,10.0
User #25309,2020-03-22 20:00:00,10.0
User #25309,2020-03-22 23:00:00,10.0
User #25309,2020-03-23 17:00:00,11.0
User #25309,2020-03-23 20:00:00,15.0
